class_name,code_lines,fields_num,methods_num
ProtectedChildOwnRR,28,1,4
ProtectedChildInheritedRR,16,1,2
PackageBase,26,1,4
PackageChildOwnRR,28,1,4
PackageChildInheritedRR,16,1,2
ParentNotTransient,11,2,0
ChildWithTransient,16,2,1
1,6,0,1
2,6,0,1
3,6,0,1
4,6,0,1
SomethingThatValidates,44,1,2
UnserializableParent,7,1,0
CustomSerializableChild,32,2,4
SerializableGrandChild,9,2,0
SerializationCallbackOrderTest,915,1,34
Child,22,2,3
Parent,31,3,4
RawString,25,1,3
Store,12,2,1
OtherStore,12,1,1
MyStore,13,1,1
MoscowCalendar,7,1,0
SerializationNestedWriteObjectsTest,289,0,6
MommyBear,3,3,0
BabyBear,4,1,0
SortableFieldListTest,48,0,2
SwingTest,41,0,4
Time18TypesTest,1026,0,100
MyComparator,9,1,1
1,8,0,1
UnusedComparator,20,1,2
TreeMapAndTreeSetTest,197,0,10
Thing,24,3,2
Container,4,2,0
ExternalizableContainer,13,1,2
OriginalSerializable,19,2,2
ReplacedSerializable,19,2,2
OriginalExternalizable,24,1,3
ReplacedExternalizable,24,1,3
OriginalThing,16,2,1
IntermediateThing,11,1,1
ReplacedThing,11,1,1
WriteReplaceTest,380,0,12
1,7,0,1
WithDollarCharField,7,5,0
WithUnderscoreCharField,7,5,0
A_B,9,2,0
XStream11XmlFriendlyTest,124,0,5
ParentClass,3,1,0
ChildClass,14,1,1
ParentA,8,2,1
ChildA,8,2,1
XStream12ReferenceByXPathUnmarshaller,8,0,0
1,9,0,1
XStream12CompatibilityTest,125,0,4
XStream13CompatibilityTest,34,0,2
1,5,0,0
Office,6,1,0
2,8,0,0
3,9,0,0
CollectionContainer,3,1,0
4,6,0,0
DoNothingConverter,26,1,3
5,6,0,0
Home,2,0,0
6,6,0,0
7,6,0,0
8,6,0,0
XStreamBuilderTest,181,0,8
ImplicitXStreamContainer,4,1,0
XStreamerTest,62,1,6
XmlFriendlyDollarOnlyTest,15,0,2
WithDollarCharField,7,5,0
WithUnderscoreCharField,6,4,0
WithDoubleUnderscoreCharField,6,4,0
WithDollarAndUnderscoreCharField,8,6,0
WithUnusualCharacters,6,4,0
A_B,9,2,0
__,11,0,0
XmlFriendlyTest,203,0,10
Operation,10,2,0
1,13,1,2
2,13,0,2
3,14,2,2
4,12,0,2
5,13,0,2
Codec,82,5,0
Data,75,5,3
Base64Benchmark,211,3,1
Model,82,7,14
ModelConverter,67,0,4
ConverterTypeBenchmark,243,3,6
NoNameCoder,22,0,4
DollarNameCoder,22,0,4
EscapedUnderscoreNameCoder,60,0,4
CachedEscapedUnderscoreNameCoder,26,2,2
Unfriendly,14,3,0
_5,16,0,0
_4,18,0,0
_3,20,0,0
_2,22,0,0
_1,24,0,0
NameCoderBenchmark,303,3,8
1,6,0,1
DriverFactory,95,13,1
1,36,3,2
2,31,2,2
3,23,1,2
DataFactory,125,3,2
ParserBenchmark,311,5,5
NonCachingStringConverter,12,0,2
InternStringConverter,12,0,2
SynchronizedWeakCacheStringConverter,43,2,2
ConcurrentHashMapStringConverter,35,2,2
StringConverterBenchmark,280,2,9
AnnotatedTypeProcessor,7,0,1
AbsoluteReferencesProcessor,7,0,1
AliasFieldProcessor,13,1,1
AliasTypeProcessor,13,1,1
ConverterProcessor,13,1,1
IdReferencesProcessor,7,0,1
IgnoreFieldProcessor,13,1,1
ImplementedByProcessor,13,1,1
NoReferencesProcessor,7,0,1
FieldConfig,31,2,3
TypeConfig,30,2,3
XStreamBuilder,86,1,16
AbstractSingleValueConverter,14,0,3
BigDecimalConverter,13,0,2
BigIntegerConverter,13,0,2
BooleanConverter,48,6,4
ByteConverter,17,0,2
CharConverter,39,0,5
DateConverter,208,8,4
1,17,0,1
DateConverterTest,219,1,14
DoubleConverter,13,0,2
FloatConverter,13,0,2
IntConverter,17,0,2
LongConverter,40,0,2
NullConverter,18,0,3
ShortConverter,17,0,2
StringBufferConverter,12,0,2
StringBuilderConverter,12,0,2
StringConverter,72,3,2
URIConverter,16,0,2
URIConverterTest,38,2,3
URLConverter,17,0,2
URLConverterTest,14,0,1
UUIDConverter,17,0,2
AbstractCollectionConverter,137,1,12
ArrayConverter,38,0,3
BitSetConverter,36,0,3
BitSetConverterTest,17,0,1
Dummy,48,1,4
ByteArrayConverterTest,67,0,2
CharArrayConverter,18,0,3
CharArrayConverterTest,9,0,1
CollectionConverter,81,1,7
MapConverter,89,1,7
PropertiesConverter,63,2,3
PropertiesConverterTest,68,0,3
SingletonCollectionConverter,26,2,2
SingletonMapConverter,30,1,2
NullComparator,7,0,1
TreeMapConverter,104,2,5
1,18,0,3
1,35,0,2
TreeSetConverter,134,3,3
BigEnum,5,78,0
EnumConverter,38,0,3
EnumConverterTest,45,1,5
PolymorphicEnumConverter,15,0,2
EnumCustomConverterTest,96,1,5
EnumMapConverter,36,1,3
EnumMapConverterTest,33,1,2
Bowl,3,1,0
TypeWithEnums,6,3,0
EnumMapperTest,73,1,4
EnumSetConverter,65,2,5
EnumSetConverterTest,55,1,5
EnumSingleValueConverter,26,1,3
EnumToStringConverter,75,3,6
EnumToStringConverterTest,43,1,4
1,6,0,1
2,6,0,1
PolymorphicEnum,25,3,2
SimpleEnum,3,3,0
ActivationDataFlavorConverter,69,0,3
ActivationDataFlavorConverterTest,37,0,4
CharsetConverter,17,0,3
CharsetConverterTest,7,0,1
ColorConverter,37,0,4
CurrencyConverter,12,0,2
1,9,0,1
DurationConverter,29,1,2
DurationConverterTest,14,1,1
1,6,0,1
DynamicProxyConverter,105,4,4
EncodedByteArrayConverter,72,2,6
TestObject,5,3,0
EncodedByteArrayConverterTest,54,0,4
FileConverter,18,0,3
FontConverter,105,2,3
FontConverterTest,112,2,7
GregorianCalendarConverter,41,0,3
GregorianCalendarConverterTest,11,0,1
ISO8601DateConverter,21,1,3
ISO8601DateConverterTest,58,1,5
ISO8601GregorianCalendarConverter,37,1,3
1,17,0,1
ISO8601GregorianCalendarConverterTest,354,2,28
ISO8601SqlTimestampConverter,41,1,3
ISO8601SqlTimestampConverterTest,72,1,6
JavaClassConverter,52,1,3
A,1,0,0
B,1,0,0
1,1,0,0
JavaClassConverterTest,64,0,5
JavaFieldConverter,81,2,3
JavaMethodConverter,114,1,4
AnIntClass,19,1,3
JavaMethodConverterTest,55,0,3
LocaleConverter,37,0,3
LookAndFeelConverter,18,0,1
NamedArrayConverter,74,3,3
NamedCollectionConverter,74,2,3
NamedMapConverter,274,9,5
PathConverter,40,0,3
PropertyEditorCapableConverter,26,2,3
SoftwarePropertyEditor,15,0,2
1,7,0,1
2,26,0,1
PropertyEditorCapableConverterTest,104,0,2
RegexPatternConverter,43,0,3
RegexPatternConverterTest,23,0,2
SqlDateConverter,13,0,2
SqlTimeConverter,13,0,2
SqlTimestampConverter,71,1,3
StackTraceElementFactory,73,0,6
StackTraceElementConverter,143,2,3
StackTraceElementConverter9Test,41,1,4
StackTraceElementConverterTest,59,1,7
StackTraceElementFactory,2,0,0
SubjectConverter,85,0,12
TextAttributeConverter,11,0,0
Ser,11,1,1
ThrowableConverter,88,4,5
MyException,20,2,2
OtherException,29,2,4
1,11,0,1
ThrowableConverterTest,219,0,16
1,57,0,1
ToAttributedValueConverter,280,7,4
ToAttributedValueConverterTest,177,4,8
ToStringConverter,32,2,3
Foo,12,1,1
BadFoo1,5,0,0
ToStringConverterTest,63,0,6
UseAttributeForEnumMapper,28,0,4
BeanProperty,113,5,9
BeanProvider,170,2,11
ComparingPropertySorter,16,1,1
1,36,0,4
2,9,0,1
DuplicatePropertyException,8,1,0
JavaBeanConverter,146,3,5
StringComparator,8,0,1
World,140,16,30
TypesOfFields,40,5,7
SimpleBean,14,2,2
UnsafeBean,9,0,2
Person,29,2,4
Man,12,0,0
JavaBeanConverterTest,504,0,12
NativePropertySorter,8,0,1
PropertyDictionary,106,2,7
SomeClass,47,6,8
SpecialClass,20,1,4
PropertyDictionaryTest,121,1,3
AbstractAttributedCharacterIteratorAttributeConverter,127,4,5
