class_name,method_name,code_lines 
ExtendedTypesTest,assertFilesBothWay,14
ExtendedTypesTest,setUp,9
ExtendedTypesTest,tearDown,4
ExtendedTypesTest,testAwtColor,13
ExtendedTypesTest,testCanHandleJDomElement,25
ExtendedTypesTest,testCharset,6
ExtendedTypesTest,testCurrency,3
ExtendedTypesTest,testFile,15
ExtendedTypesTest,testGregorianCalendar,13
ExtendedTypesTest,testGregorianCalendarCompat,8
ExtendedTypesTest,testLocale,4
ExtendedTypesTest,testLocaleWithVariant,4
ExtendedTypesTest,testPathIsImmutable,9
ExtendedTypesTest,testPathOfDefaultFileSystem,12
ExtendedTypesTest,testPathOfNonDefaultFileSystem,18
ExtendedTypesTest,testPathWithSpecialCharacters,6
ExtendedTypesTest,testRegexPattern,21
ExtendedTypesTest,testSqlDate,3
ExtendedTypesTest,testSqlTime,3
ExtendedTypesTest,testSqlTimestamp,3
ExtendedTypesTest,testSqlTimestampWithFraction,5
ExtendedTypesTest,testSqlTimestampWithLocalTimeZone,6
ExtendedTypesTest,testSubject,21
CircularExternalizable,equals,3
CircularExternalizable,hashCode,3
CircularExternalizable,readExternal,5
CircularExternalizable,setParent,6
CircularExternalizable,toString,3
CircularExternalizable,writeExternal,5
InnerExternalizable1,readExternal,3
InnerExternalizable1,writeExternal,3
InnerExternalizable2,readExternal,3
InnerExternalizable2,writeExternal,3
ExternalizableTest,testCircularExternalizable,20
ExternalizableTest,testExternalizable,15
ExternalizableTest,testExternalizableAsFieldOfAnotherObject,19
ExternalizableTest,testWithPrivateDefaultConstructor,21
FinalFieldsTest,testExceptionThrownUponSerializationIfNotSupport,11
FinalFieldsTest,testSerializeFinalFieldsIfSupported,10
IDReferenceTest,setUp,4
IDReferenceTest,testCanReferenceDeserializedNullValues,12
IDReferenceTest,testCircularReferenceToSelfXml,12
IDReferenceTest,testCircularReferenceXml,17
IDReferenceTest,testReplacedReference,15
IDReferenceTest,testXmlContainsReferenceIds,23
House,getPeople,3
House,getRooms,3
ImplicitArrayTest,setUp,11
ImplicitArrayTest,testAllowDifferentImplicitArrayDefinitionsInSubclass,38
ImplicitArrayTest,testAllowsSubclassToOverrideImplicitCollectionInSuperclass,18
ImplicitArrayTest,testArraysWithDerivedElements,23
ImplicitArrayTest,testCanBeDeclaredOnlyForMatchingComponentType,8
ImplicitArrayTest,testCanBeDeclaredOnlyForMatchingType,8
ImplicitArrayTest,testCollectsDifferentTypesWithFieldOfSameName,27
ImplicitArrayTest,testDoesNotInheritFromHiddenArrayOfSuperclass,30
ImplicitArrayTest,testDoesNotPropagateToHiddenArrayOfSuperclass,30
ImplicitArrayTest,testInheritedAndDirectDeclaredImplicitArraysAtOnceIsNotDeclarationSequenceDependent,22
ImplicitArrayTest,testInheritsImplicitArrayFromSuperclass,18
ImplicitArrayTest,testMultiDimensionalArrayWithAlias,19
ImplicitArrayTest,testMultiDimensionalDirectArray,21
ImplicitArrayTest,testMultiDimensionalPrimitiveArray,21
ImplicitArrayTest,testMultipleArraysBasedOnDifferentType,43
ImplicitArrayTest,testSupportsInheritedAndDirectDeclaredImplicitArraysAtOnce,22
ImplicitArrayTest,testWithAliasAndNullElement,15
ImplicitArrayTest,testWithAliasedItemNameMatchingTheAliasedNameOfTheFieldWithTheArray,18
ImplicitArrayTest,testWithDirectType,17
ImplicitArrayTest,testWithDoubleHiddenArray,39
ImplicitArrayTest,testWithExplicitItemNameMatchingTheNameOfTheFieldWithTheArray,17
ImplicitArrayTest,testWithHiddenArray,29
ImplicitArrayTest,testWithHiddenArrayAndDifferentAlias,29
ImplicitArrayTest,testWithImplicitNameMatchingTheNameOfTheFieldWithTheArray,18
ImplicitArrayTest,testWithNullElement,18
ImplicitArrayTest,testWithPrimitiveArray,14
